parabolic_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 20, no_regularization, -0.00958301913787, 0.00264682552684, 3.62057077079, 0.00472369286131, 0.00728798199376, 0.648148261804
0, 1.0, 16, regularization, -0.00958882577859, 0.0023542731361, 4.07294533143, 0.0048740286629, 0.00404186153759, 1.20588709375
0, 1.0, 17, regularization, -0.00960730175105, 0.00235655966925, 4.07683364713, 0.00511766172241, 0.00414481776608, 1.23471332426
0, 1.0, 18, regularization, -0.00958969432334, 0.0023278984881, 4.11946413142, 0.0049996443615, 0.0038553374014, 1.29681110651
0, 1.0, 19, regularization, -0.00958452188532, 0.00234523535374, 4.0868059873, 0.00485162176982, 0.00400947982157, 1.21003770707
0, 1.0, 20, regularization, -0.00959557665731, 0.00234520634818, 4.0915703067, 0.00507494206169, 0.00422234476423, 1.20192507838
0, 1.0, 26, no_regularization, -0.0095806074323, 0.00261063348647, 3.66984009129, 0.00476577097297, 0.00793257241138, 0.600785057585
0, 1.0, 27, no_regularization, -0.00959935528418, 0.00248045010853, 3.8700053878, 0.00458783275808, 0.00765082333786, 0.59965216232
0, 1.0, 28, no_regularization, -0.00960765566784, 0.00251259726301, 3.82379452898, 0.0047921229958, 0.00701182348821, 0.683434630643
0, 1.0, 29, no_regularization, -0.00957006804904, 0.00257263103725, 3.71995358466, 0.00467461879873, 0.00792811736602, 0.589625327542
0, 1.0, 30, no_regularization, -0.0095601620121, 0.00252791264457, 3.78184033876, 0.00483339111691, 0.00726081082949, 0.665682005828
0, 1.0, 26, regularization, -0.00958709050921, 0.00241729225775, 3.96604526345, 0.00499485880104, 0.0042849733102, 1.16566859102
0, 1.0, 27, regularization, -0.00960299331644, 0.00230255191968, 4.17058709267, 0.00484898392112, 0.00425066239562, 1.14075959693
0, 1.0, 28, regularization, -0.00961145943758, 0.00232392209521, 4.13587850358, 0.00501290539448, 0.00407087617335, 1.23140699471
0, 1.0, 29, regularization, -0.00957088885054, 0.00228219887665, 4.1937137681, 0.00504850847173, 0.00449295323963, 1.12365034811
0, 1.0, 30, regularization, -0.00956540872384, 0.00233421575378, 4.09791113282, 0.00502544686804, 0.0039751799565, 1.26420612979
0, 1.0, 6, no_regularization, -0.00958829602695, 0.00251522919944, 3.81209634059, 0.0046678224653, 0.00733995812744, 0.635946743054
0, 1.0, 7, no_regularization, -0.00958188093871, 0.00248805810261, 3.85114838301, 0.00469534845931, 0.0073451931846, 0.639240975874
0, 1.0, 8, no_regularization, -0.00957783904144, 0.00266052165523, 3.59998537227, 0.00450370602093, 0.00760990657837, 0.591821459902
0, 1.0, 9, no_regularization, -0.00959113134568, 0.00258724490958, 3.70708289353, 0.00469986785312, 0.00726391497458, 0.647015813038
0, 1.0, 10, no_regularization, -0.00956839902471, 0.00250976526388, 3.8124677086, 0.00471161413208, 0.00810054214894, 0.581641826616
0, 1.0, 6, regularization, -0.00958982848601, 0.00231830769415, 4.13656414557, 0.00502261691459, 0.00401505742357, 1.25094522562
0, 1.0, 7, regularization, -0.00958751899307, 0.00229563073895, 4.17642037564, 0.00492615052355, 0.00423014544972, 1.16453454901
0, 1.0, 8, regularization, -0.00956598063925, 0.00240108589526, 3.98402266997, 0.00475846033449, 0.00420134358989, 1.13260442348
0, 1.0, 9, regularization, -0.00959703933, 0.00236565531214, 4.05682065377, 0.00491867722623, 0.00422652139277, 1.16376489532
0, 1.0, 10, regularization, -0.00957247936102, 0.00233681585727, 4.09637726963, 0.00504724490962, 0.00442994107884, 1.13934809059
0, 1.0, 11, no_regularization, -0.0095687043498, 0.00759850895188, 1.25928710625, 0.00468169681421, 0.00717973559424, 0.652070922774
0, 1.0, 12, no_regularization, -0.00958690030375, 0.00247017949387, 3.88105412079, 0.00489929638408, 0.00758101018671, 0.646259042452
