axialTopBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
16, 11.0, 6, regularization, -0.022482608875, 0.262786263904, 0.0855547338774, 0.017475034259, 0.699211100509, 0.0249925011863
16, 11.0, 7, regularization, -0.029720845603, 0.363270991265, 0.0818145305229, 0.0122593415048, 0.344972040013, 0.0355372032597
16, 11.0, 8, regularization, -0.00656218874405, 0.265996502277, 0.0246702068932, -0.0421723573847, 0.803753973359, 0.0524692365855
16, 11.0, 9, regularization, -0.0319923910389, 0.232805781981, 0.137420947052, 0.0201529389983, 0.300842945052, 0.0669882386466
16, 11.0, 10, regularization, 0.00835145368007, 0.213118529665, 0.0391868961052, -0.00336363395576, 0.403694660252, 0.00833212397127
20, 3.0, 6, no_regularization, -0.0347480532481, 0.00152951582609, 22.7183352113, 0.00379458954934, 0.0743260757972, 0.0510532744887
20, 3.0, 7, no_regularization, -0.034416039266, 0.00198213268304, 17.3631359598, 0.00221830615711, 0.0788380837267, 0.028137494625
20, 3.0, 8, no_regularization, -0.0345495432046, 0.00252293531221, 13.6941851174, 0.0120036589544, 0.049230642932, 0.243824948031
20, 3.0, 9, no_regularization, -0.0343758011852, 0.00157850547031, 21.7774355755, 0.00366436111959, 0.0724349125853, 0.0505883280425
20, 3.0, 10, no_regularization, -0.0349253555976, 0.003319915924, 10.5199518292, 0.0117738523916, 0.05065053241, 0.23245268769
20, 3.0, 6, regularization, -0.0347283568495, 0.00214181781916, 16.2144308161, 0.017084768496, 0.00429160085675, 3.98097797681
20, 3.0, 7, regularization, -0.0344126238739, 0.00243464784184, 14.1345385901, 0.0171894545248, 0.00425133141937, 4.04331086644
20, 3.0, 8, regularization, -0.0345295297956, 0.00257474021427, 13.4108791264, 0.0174882601194, 0.00511014294685, 3.42226436742
20, 3.0, 9, regularization, -0.0344046400683, 0.00225110076004, 15.2834740582, 0.0171290041989, 0.0048805522799, 3.50964465014
20, 3.0, 10, regularization, -0.0349481176942, 0.00303759912038, 11.5051777108, 0.0175739857692, 0.00545428222678, 3.22205288221
18, 5.0, 6, no_regularization, -0.0556681809206, 0.00231913731021, 24.0038313711, 0.0151725968529, 0.0757069845842, 0.200412114367
18, 5.0, 7, no_regularization, -0.055264911384, 0.00266642558233, 20.7262155562, 0.0142089152791, 0.0810552012796, 0.175299241193
