axialBottomFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0.9, 0.5, 6, no_regularization, -0.00531569868923, 0.263461103697, 0.020176407882, -0.0159608449474, 0.281528162409, 0.0566935997125
0.9, 0.5, 7, no_regularization, -0.00136662694577, 0.260334923948, 0.00524949524651, -0.0168655760644, 0.297788732209, 0.0566360450891
0.9, 0.5, 8, no_regularization, -0.010877071391, 0.251478118737, 0.0432525559108, -0.0121066569006, 0.28083370379, 0.043109700642
0.9, 0.5, 9, no_regularization, -0.00810298830255, 0.255150221078, 0.0317577161733, -0.0155774326034, 0.297192202241, 0.0524153476636
0.9, 0.5, 10, no_regularization, -0.00735888347321, 0.244094095733, 0.030147732378, -0.0149252805572, 0.31081270759, 0.048020174828
0.9, 0.5, 6, regularization, -0.00624767519637, 0.0143729743812, 0.434682135422, -0.0160713829564, 0.143074076432, 0.112329105015
0.9, 0.5, 7, regularization, -0.00641101795465, 0.0138958880077, 0.461360796166, -0.0175688194335, 0.143626329573, 0.122323110851
0.9, 0.5, 8, regularization, -0.0058610022081, 0.0103395278117, 0.566853952602, -0.0144687754201, 0.143330445459, 0.100946978667
0.9, 0.5, 9, regularization, -0.00586148330695, 0.0183469169164, 0.319480560884, -0.0138066947928, 0.131481727787, 0.105008467907
0.9, 0.5, 10, regularization, -0.00601780461526, 0.0167261816553, 0.359783526168, -0.0141770248904, 0.142022688657, 0.0998222539261
1, 7.0, 6, no_regularization, -0.0505480283285, 0.277992387233, 0.181832419339, 0.00401857889403, 0.243486507435, 0.0165043186022
1, 7.0, 7, no_regularization, -0.0160178095696, 0.42086638716, 0.0380591324428, -0.179981163775, 0.617520685554, 0.291457708196
1, 7.0, 8, no_regularization, -0.0108204463658, 0.411170472383, 0.0263162048166, 0.0189380227978, 0.281588356536, 0.0672542822112
1, 7.0, 9, no_regularization, -0.0215770997363, 0.351572691134, 0.0613730823823, 0.0126909334828, 0.443092423257, 0.0286417298439
1, 7.0, 10, no_regularization, -0.0114944468099, 0.335786754587, 0.0342313883823, 0.00753904147284, 0.302670207785, 0.0249084359112
1, 7.0, 6, regularization, -0.00366408085333, 0.261563446329, 0.0140083826878, 0.00460334559892, 0.253406903305, 0.0181658255513
1, 7.0, 7, regularization, -0.0053874063823, 0.447119314928, 0.0120491470675, 0.00320872652345, 0.542063738863, 0.00591946351213
1, 7.0, 8, regularization, -0.0707512532758, 0.190492671215, 0.371411943695, 0.0100396704103, 0.217782691743, 0.0460994871996
1, 7.0, 9, regularization, -0.0346299246273, 0.532847546117, 0.0649903051626, -0.0420467782128, 0.624728276238, 0.0673041061403
1, 7.0, 10, regularization, 0.00868345752499, 0.264336807841, 0.0328499749843, -0.0413026948936, 0.31718704643, 0.130215578973
0.8, 11.0, 6, no_regularization, -0.0428130476492, 0.343325949402, 0.124700878928, -0.0426657359544, 0.554286191644, 0.0769741996059
0.8, 11.0, 7, no_regularization, -0.0714658557896, 0.716463235463, 0.0997481130255, 0.0183427992998, 0.739055746951, 0.0248192364046
0.8, 11.0, 8, no_regularization, -0.0263881113071, 0.375815726197, 0.0702155590298, -0.101028411178, 0.58380131985, 0.173052728288
0.8, 11.0, 9, no_regularization, -0.015430891563, 0.485016205386, 0.0318152082171, -0.0432610641228, 0.478368478408, 0.0904346044428
0.8, 11.0, 10, no_regularization, -0.0244181720289, 0.414283595677, 0.058940716658, 0.00514024844373, 0.473290513818, 0.0108606623071
0.8, 11.0, 6, regularization, 0.042377353584, 0.280269148052, 0.151202349165, -0.022420195651, 0.572637618459, 0.0391525022602
0.8, 11.0, 7, regularization, -0.0562283912392, 0.664581308505, 0.084607241461, 0.0278792919519, 0.675856403525, 0.0412503185685
0.8, 11.0, 8, regularization, -0.0103313210344, 0.276661391612, 0.0373428362163, -0.00637002014053, 0.470488140011, 0.0135391726142
0.8, 11.0, 9, regularization, -0.0141548877256, 0.410575652393, 0.0344757114629, -0.0479498698463, 0.440547540636, 0.108841533372
0.8, 11.0, 10, regularization, -0.0282715595248, 0.343647903524, 0.0822689713362, -0.0176009823502, 0.427390761988, 0.0411824117778
1.2, 3.0, 6, no_regularization, -0.0347481513506, 0.00151340588434, 22.9602327506, 0.0117732872707, 0.0491875311932, 0.239355116737
1.2, 3.0, 7, no_regularization, -0.0344153385418, 0.00198195059682, 17.364377597, 0.00272301181481, 0.0773027760404, 0.0352252784995
1.2, 3.0, 8, no_regularization, -0.0345491436825, 0.00251921789348, 13.7142339978, 0.0177670016391, 0.0194555332348, 0.913210726466
1.2, 3.0, 9, no_regularization, -0.0343749723777, 0.00157569608752, 21.8157375969, 0.00270194203881, 0.0771886958986, 0.0350043747645
1.2, 3.0, 10, no_regularization, -0.0349259016181, 0.00331033318846, 10.5505698761, 0.0183771857579, 0.0157863064439, 1.16412194475
1.2, 3.0, 6, regularization, -0.0347286500068, 0.00215001257094, 16.1527660239, 0.016711404635, 0.00537742685929, 3.10769538523
1.2, 3.0, 7, regularization, -0.034408822531, 0.00242915660338, 14.1649255891, 0.017159534808, 0.0043803815282, 3.91736078183
1.2, 3.0, 8, regularization, -0.0345290383676, 0.00255695298406, 13.5039785959, 0.0177348508027, 0.0047106949551, 3.76480561185
1.2, 3.0, 9, regularization, -0.0344055995364, 0.00225895262878, 15.230775138, 0.017170569992, 0.00483185292137, 3.55362016837
1.2, 3.0, 10, regularization, -0.0349477984783, 0.00304341980171, 11.4830686383, 0.0179058837555, 0.00513169477068, 3.48927295087
1, 3.0, 6, no_regularization, -0.0347491640545, 0.00155272531219, 22.3794664656, 0.00402316884424, 0.0665471582962, 0.0604559074685
1, 3.0, 7, no_regularization, -0.0344077486269, 0.00203166879164, 16.9357076156, 0.00399839048411, 0.0667300065385, 0.059918928403
1, 3.0, 8, no_regularization, -0.0345518610223, 0.00264963971049, 13.0402110466, 0.00489342732057, 0.0692560178519, 0.0706570702785
1, 3.0, 9, no_regularization, -0.0343758057283, 0.00243078602245, 14.1418477031, 0.00304139699406, 0.0702742076026, 0.0432789937847
1, 3.0, 10, no_regularization, -0.0348601447546, 0.0212484363053, 1.64059812467, 0.00481890077199, 0.0757265834592, 0.0636355233772
1, 3.0, 6, regularization, -0.0347229840371, 0.00281119519087, 12.3516802213, 0.016375782684, 0.00521708577107, 3.13887549535
1, 3.0, 7, regularization, -0.034403614889, 0.00303248202218, 11.3450350694, 0.0162637020575, 0.00560124058952, 2.90358926699
1, 3.0, 8, regularization, -0.0345358614184, 0.0030500893656, 11.3229014887, 0.0167577047529, 0.00564442178971, 2.96889661638
1, 3.0, 9, regularization, -0.0344221175544, 0.00290602542066, 11.8450848054, 0.0164492756434, 0.00522235620205, 3.14978048356
1, 3.0, 10, regularization, -0.0349817005366, 0.00347916184073, 10.0546344602, 0.0169434625492, 0.00621146353543, 2.72777300431
1.4, 5.0, 6, no_regularization, -0.0409361590938, 0.170881412123, 0.239558876447, 0.00781116854686, 0.217340566766, 0.0359397634003
1.4, 5.0, 7, no_regularization, -0.0530780303939, 0.174830826493, 0.303596519324, 0.0126550242989, 0.179702294501, 0.0704221631341
1.4, 5.0, 8, no_regularization, -0.048704802367, 0.172957685258, 0.281599527043, 0.0212561687472, 0.21531889381, 0.0987194777526
1.4, 5.0, 9, no_regularization, -0.0563897977232, 0.00252310216842, 22.3493913282, 0.0146126520313, 0.0833454727309, 0.175326284111
1.4, 5.0, 10, no_regularization, -0.0641363194257, 0.117592802353, 0.545410247414, 0.0280328135774, 0.149689461795, 0.18727312692
1.4, 5.0, 6, regularization, -0.0394622027264, 0.118678084998, 0.332514656998, 0.0098626712934, 0.196592870752, 0.0501680007808
1.4, 5.0, 7, regularization, -0.0538377034445, 0.105064031539, 0.512427542098, 0.0302090589894, 0.167734913476, 0.180100006393
1.4, 5.0, 8, regularization, -0.0644745614479, 0.114366193141, 0.563755421749, 0.0257485347895, 0.176040705008, 0.146264665256
1.4, 5.0, 9, regularization, -0.0564015715532, 0.00202357054187, 27.8723031326, 0.0288614114445, 0.00699959897555, 4.12329499808
1.4, 5.0, 10, regularization, -0.0573672752721, 0.0223033380219, 2.57213853889, 0.0258640484969, 0.0544723967422, 0.474810179903
0.9, 7.0, 6, no_regularization, -0.0425300944184, 0.319278557125, 0.133206861123, -0.00126565992227, 0.302864569054, 0.00417896331098
0.9, 7.0, 7, no_regularization, -0.0121837777306, 0.545188859465, 0.0223478112567, -0.0105446691505, 0.567383052001, 0.0185847446683
0.9, 7.0, 8, no_regularization, 0.040516562304, 0.438489091909, 0.0924003881776, -0.0047034703523, 0.623054266582, 0.00754905407856
0.9, 7.0, 9, no_regularization, -0.00928714462689, 0.584418966029, 0.0158912444098, -0.063524252696, 0.499333917597, 0.127217980709
0.9, 7.0, 10, no_regularization, -0.0127010423258, 0.383725747893, 0.0330992704959, -0.0300905690887, 0.41886828835, 0.0718377827246
0.9, 7.0, 6, regularization, -0.0381309957056, 0.320300388246, 0.119047610009, -0.00272567112412, 0.277453858787, 0.00982387174589
0.9, 7.0, 7, regularization, 0.0031393671335, 0.378871154537, 0.00828610754845, -0.147937381453, 0.781760145412, 0.189236279595
0.9, 7.0, 8, regularization, 0.0380632396038, 0.423683165816, 0.0898389236932, -0.0577647887861, 0.526895609353, 0.109632321395
0.9, 7.0, 9, regularization, -0.0276093346412, 0.532050082735, 0.0518923603945, -0.0454937178172, 0.687722467706, 0.0661512746107
0.9, 7.0, 10, regularization, 0.0352189744157, 0.252255392642, 0.139616339008, -0.0430443546723, 0.314350046269, 0.136931281491
1.1, 1.0, 6, no_regularization, -0.0125215024708, 0.000795650398907, 15.7374425854, 0.00630712191465, 0.00653976075193, 0.964427011002
1.1, 1.0, 7, no_regularization, -0.0123162811435, 0.0012430282664, 9.90828726619, -0.0016056444838, 0.0535313707319, 0.0299944586108
1.1, 1.0, 8, no_regularization, -0.0120944056026, 0.00117544665243, 10.2891999204, 0.00576511889769, 0.00555023021521, 1.03871707554
1.1, 1.0, 9, no_regularization, -0.0119265194539, 0.000773250054725, 15.4238843968, 0.00600774683446, 0.00449829399697, 1.33556117908
1.1, 1.0, 10, no_regularization, -0.0120745909125, 0.0015441624014, 7.81950842836, 0.00617958340404, 0.00673790236655, 0.917137570102
1.1, 1.0, 6, regularization, -0.0124816696811, 0.00100139656442, 12.4642625354, 0.00568257334024, 0.00284485187959, 1.99749357111
1.1, 1.0, 7, regularization, -0.0123194838329, 0.00123836743799, 9.94816518505, 0.00604382653391, 0.00252775549704, 2.39098541809
1.1, 1.0, 8, regularization, -0.0120811408105, 0.00121904284344, 9.91034964476, 0.00567914396072, 0.002537507236, 2.23807990777
1.1, 1.0, 9, regularization, -0.011953145496, 0.00104222769195, 11.4688427378, 0.00588134735431, 0.00206062681137, 2.85415453291
1.1, 1.0, 10, regularization, -0.0120878255017, 0.00136996546522, 8.82345271368, 0.00588125630175, 0.00251104746486, 2.34215258136
1.5, 9.0, 6, no_regularization, -0.00977433014804, 0.425414651602, 0.0229760073172, -0.139826510098, 0.811278580547, 0.172353262431
1.5, 9.0, 7, no_regularization, 0.0261690244983, 0.346112640056, 0.0756084045183, -0.0267694900245, 0.600727352873, 0.0445617964564
1.5, 9.0, 8, no_regularization, 0.00924158467706, 0.325452669015, 0.0283960942924, -0.0757109448969, 0.530925460009, 0.142601835097
1.5, 9.0, 9, no_regularization, -0.0408461582585, 0.445820649765, 0.0916201577473, 0.0197396444413, 1.17306542637, 0.0168274028008
1.5, 9.0, 10, no_regularization, 0.0050391739041, 0.390783313106, 0.0128950590649, 0.0598591506341, 0.743085483435, 0.0805548647746
1.5, 9.0, 6, regularization, -0.000543217903379, 0.244415839699, 0.0022225151367, 0.000964745661364, 0.404438754034, 0.00238539371349
1.5, 9.0, 7, regularization, 0.00749094514202, 0.264544898857, 0.028316346958, -0.00523546584612, 0.553260400672, 0.00946293253549
1.5, 9.0, 8, regularization, -0.0472440223374, 0.662522567217, 0.0713093027697, 0.0364749030038, 0.470429260981, 0.0775353619112
1.5, 9.0, 9, regularization, -0.0123058246914, 0.310149656925, 0.0396770540179, -0.0830678101447, 1.20106948842, 0.0691615355692
1.5, 9.0, 10, regularization, 0.0111370551634, 0.296113642032, 0.0376107466276, 0.0516494514796, 0.711448355405, 0.0725976117412
0.8, 0.5, 6, no_regularization, -0.00689067524537, 0.328211807902, 0.0209945988519, -0.0102134855838, 0.276181911329, 0.0369810084036
0.8, 0.5, 7, no_regularization, -0.000711822612233, 0.310536968699, 0.00229223146994, -0.0155837092192, 0.295084754516, 0.0528109601755
0.8, 0.5, 8, no_regularization, -0.00954241392152, 0.328361919217, 0.0290606594829, -0.0159835220652, 0.286897380963, 0.0557116346324
0.8, 0.5, 9, no_regularization, -0.00528723800629, 0.319356820634, 0.0165558950512, -0.0198491216729, 0.293030104153, 0.0677374829124
0.8, 0.5, 10, no_regularization, -0.0116010278326, 0.32609349541, 0.0355757719669, -0.0145840511939, 0.316473815306, 0.0460829632295
0.8, 0.5, 6, regularization, -0.00583763080288, 0.20005518325, 0.0291801027498, -0.0203571497596, 0.196801164174, 0.103440189722
0.8, 0.5, 7, regularization, -0.000904413330323, 0.207722082727, 0.00435395851251, -0.0232532647752, 0.222746813203, 0.104393254569
0.8, 0.5, 8, regularization, -0.010002591501, 0.206286034111, 0.0484889417944, -0.0191438074188, 0.236627131513, 0.0809028419367
0.8, 0.5, 9, regularization, -0.00740184223036, 0.198893917891, 0.0372150255214, -0.0246813298149, 0.234905431001, 0.105069217471
0.8, 0.5, 10, regularization, -0.00158810367876, 0.198280685636, 0.00800937153141, -0.0256028941873, 0.213632451394, 0.11984552918
1.5, 7.0, 6, no_regularization, -0.00800071161071, 0.232486089356, 0.0344137218398, 0.00888726608543, 0.334037593382, 0.0266055865014
1.5, 7.0, 7, no_regularization, -0.00345407584158, 0.506640872144, 0.00681760203626, 0.027197727445, 0.645444457008, 0.0421379828267
