lateralBottomBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
14, 1.0, 7, no_regularization, -0.0123153570524, 0.00116150079779, 10.602969086, -0.00312874934346, 0.0571717811308, 0.0547254131597
14, 1.0, 8, no_regularization, -0.0121019480325, 0.00107386020089, 11.2695749619, 0.00583341714448, 0.00459525225546, 1.26944437872
14, 1.0, 9, no_regularization, -0.0119296070069, 0.000731964967258, 16.2980573395, 0.00600077877372, 0.00371975909595, 1.61321704415
14, 1.0, 10, no_regularization, -0.0120827182217, 0.00146917741918, 8.22413825858, 0.00615873797264, 0.0055625457222, 1.1071797483
14, 1.0, 6, regularization, -0.012480196347, 0.0010018028229, 12.4577372529, 0.00571058619296, 0.00240358345407, 2.37586349802
14, 1.0, 7, regularization, -0.0123171390815, 0.00121095065632, 10.1714624103, 0.00596752938969, 0.00240993858989, 2.47621637113
14, 1.0, 8, regularization, -0.0120914936596, 0.00119347889875, 10.1313007479, 0.00565728698917, 0.0023711805003, 2.38585252723
14, 1.0, 9, regularization, -0.0119561208049, 0.00104553117995, 11.4354512178, 0.00584578995814, 0.00189686013301, 3.0818244616
14, 1.0, 10, regularization, -0.0120947885204, 0.00133444567195, 9.06353010442, 0.00592128013634, 0.00218772015856, 2.7065985168
9, 3.0, 6, no_regularization, -0.0347612501998, 0.0016657089089, 20.86874244, 0.0204144352284, 0.0150500752718, 1.35643409483
9, 3.0, 7, no_regularization, -0.0344352887986, 0.00209423842629, 16.4428693344, 0.0208177359002, 0.0163416676051, 1.27390523435
9, 3.0, 8, no_regularization, -0.0345561377334, 0.00274854634665, 12.572514113, 0.0205334310078, 0.0193292260797, 1.06229969701
9, 3.0, 9, no_regularization, -0.0344015705574, 0.00176958151213, 19.4405119638, 0.0208253312216, 0.0158470241246, 1.31414775783
9, 3.0, 10, no_regularization, -0.0349437189886, 0.0102038514982, 3.42456169562, 0.020821641763, 0.0299716259084, 0.694711785961
9, 3.0, 6, regularization, -0.0347440515202, 0.00222695888513, 15.6015684673, 0.0182108223392, 0.00483374505141, 3.7674354244
9, 3.0, 7, regularization, -0.0344397390521, 0.0024966176618, 13.7945587661, 0.018209477793, 0.0050155132992, 3.63063094577
9, 3.0, 8, regularization, -0.0345541521462, 0.00267196547546, 12.9321102625, 0.0183199101889, 0.00577948224844, 3.16981857568
9, 3.0, 9, regularization, -0.0344198409111, 0.00236012408758, 14.5839115376, 0.018318921182, 0.00544265113977, 3.36580844731
9, 3.0, 10, regularization, -0.034965067091, 0.00319112705808, 10.9569648763, 0.0185776506666, 0.00592373372961, 3.13613871159
8, 5.0, 6, no_regularization, -0.0383519480268, 0.16841533778, 0.227722418471, 0.0212109845832, 0.184872684276, 0.11473292913
8, 5.0, 7, no_regularization, -0.0326514315088, 0.131185478739, 0.24889516601, 0.0219029118619, 0.15114631719, 0.144911978467
8, 5.0, 8, no_regularization, -0.0440516044492, 0.174827427875, 0.251971930175, 0.0290339513981, 0.181300549334, 0.160142655413
