axialTopFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
2.2, 1.0, 7, regularization, -0.0123129742019, 0.000877432032623, 14.0329663656, 0.00639106165097, 0.00249345454339, 2.56313541706
2.2, 1.0, 8, regularization, -0.0120821410948, 0.000949526371587, 12.7243870801, 0.00601877423684, 0.00260809602627, 2.30772723712
2.2, 1.0, 9, regularization, -0.0119797338001, 0.000670288832706, 17.8724949837, 0.00586026603418, 0.00202806488926, 2.88958507453
2.2, 1.0, 10, regularization, -0.0120942571673, 0.000991614178804, 12.1965351301, 0.00635566023255, 0.00253535465648, 2.50681308681
2.6, 3.0, 6, no_regularization, -0.0347705642469, 0.00136932739265, 25.3924404298, 0.0206037819233, 0.0135094226073, 1.52514156395
2.6, 3.0, 7, no_regularization, -0.0344244518424, 0.0017148411212, 20.0744263809, 0.0214264100004, 0.0159067375095, 1.34700217362
2.6, 3.0, 8, no_regularization, -0.0345631119683, 0.00241228396947, 14.3279615525, 0.0205328687214, 0.0151992728675, 1.35091125085
2.6, 3.0, 9, no_regularization, -0.0344510186437, 0.00139794238269, 24.6440905364, 0.0212155407214, 0.0143801843502, 1.47533162335
2.6, 3.0, 10, no_regularization, -0.0349413271594, 0.00266519888674, 13.1102137755, 0.0203777143671, 0.0167085991615, 1.21959442381
2.6, 3.0, 6, regularization, -0.0347661738651, 0.0013269152842, 26.2007486679, 0.0178574447684, 0.00306015282712, 5.83547482012
2.6, 3.0, 7, regularization, -0.0344175532995, 0.00153911348174, 22.3619334817, 0.0177817894616, 0.00357468383303, 4.97436704676
2.6, 3.0, 8, regularization, -0.0345750820895, 0.00197086967294, 17.5430585615, 0.0181833409735, 0.00447099082696, 4.06696002682
2.6, 3.0, 9, regularization, -0.0344436552971, 0.00130247670814, 26.4447379995, 0.0179013311462, 0.00317789049621, 5.63308621476
2.6, 3.0, 10, regularization, -0.0349216672913, 0.00212046391279, 16.4688807392, 0.0184304416763, 0.00509092919583, 3.62025103226
3, 1.0, 6, no_regularization, -0.0125266117894, 0.00071110016105, 17.6158190865, 0.00692937433421, 0.00513332625492, 1.34987997842
