lateralTopBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
12, 0.5, 9, regularization, -0.00603770029725, 0.0014092489872, 4.28433892952, 0.00274107985031, 0.00237446542683, 1.15439872038
12, 0.5, 10, regularization, -0.00615877523209, 0.00143025796475, 4.30605903541, 0.00305885511308, 0.00241758160412, 1.26525413159
16, 7.0, 6, no_regularization, 0.0240336083135, 0.381720599271, 0.0629612558488, -0.0378608976928, 0.870855376399, 0.0434755284504
16, 7.0, 7, no_regularization, 0.037253102653, 0.564196993026, 0.0660285381054, -0.0216125805246, 0.425279465629, 0.0508197133211
16, 7.0, 8, no_regularization, -0.00499282612644, 0.324242245281, 0.015398444216, 0.0108258164225, 0.369103126549, 0.0293300588476
16, 7.0, 9, no_regularization, 0.0177229394026, 0.453592119023, 0.0390724147518, 0.0153657008248, 0.590857682147, 0.0260057561899
16, 7.0, 10, no_regularization, 0.0073288920504, 0.443385686604, 0.0165293834957, -0.0118620295979, 0.620072138366, 0.0191300799762
16, 7.0, 6, regularization, 0.0248070231973, 0.265625674523, 0.0933909089993, -0.0344621020402, 1.01898239029, 0.0338201154099
16, 7.0, 7, regularization, 0.0336637923526, 0.5069932513, 0.0663988963685, -0.00867857170409, 0.394481917682, 0.0219999227216
16, 7.0, 8, regularization, -0.0104790232798, 0.243118522584, 0.0431025294512, 0.0156326536011, 0.340074701675, 0.0459682932136
16, 7.0, 9, regularization, 0.0164060841592, 0.329882924747, 0.0497330505111, 0.0284760225715, 0.518864774711, 0.0548813948439
16, 7.0, 10, regularization, 0.00251265642405, 0.351615543453, 0.00714603341871, 0.00783809457774, 0.574996839347, 0.0136315437606
16, 3.0, 6, no_regularization, -0.0347474385101, 0.00151289695287, 22.9674852899, 0.00437810842224, 0.0724786694959, 0.060405474503
16, 3.0, 7, no_regularization, -0.0344153170111, 0.00198059793185, 17.3762258648, 0.00262362140909, 0.0773688870911, 0.0339105486422
16, 3.0, 8, no_regularization, -0.0345497111519, 0.00251887520519, 13.7163250806, 0.0105455895898, 0.0546953721359, 0.192805884264
16, 3.0, 9, no_regularization, -0.0343747391639, 0.00157619159661, 21.8087313991, 0.00304749298322, 0.0750354037328, 0.0406140679148
16, 3.0, 10, no_regularization, -0.0349256709399, 0.00330646506174, 10.5628428813, 0.0122182569341, 0.0495628935319, 0.246520250603
16, 3.0, 6, regularization, -0.0347274383974, 0.00214813771862, 16.1662998123, 0.017045937993, 0.00435925552825, 3.91028648872
16, 3.0, 7, regularization, -0.0344106689229, 0.0024436266744, 14.0818027907, 0.0171976314233, 0.00426951888727, 4.02800218887
16, 3.0, 8, regularization, -0.0345304477108, 0.00256538218712, 13.4601572756, 0.0176033187417, 0.00481746167313, 3.65406513556
16, 3.0, 9, regularization, -0.0344048987356, 0.00224149915817, 15.3490571746, 0.0171686257866, 0.00481042363273, 3.56904653258
16, 3.0, 10, regularization, -0.034947781494, 0.00302540300998, 11.5514466597, 0.017639013729, 0.00543899707641, 3.24306365331
8, 7.0, 6, no_regularization, -0.0157089041526, 0.306575174632, 0.0512399745721, 0.0311680334381, 0.30938767201, 0.100741032232
8, 7.0, 7, no_regularization, -0.0376787413619, 0.561613639554, 0.067090146514, -0.0357998524938, 0.465589087513, 0.0768915196982
8, 7.0, 8, no_regularization, -0.0151541167321, 0.387961459789, 0.0390608818215, -0.0256541280098, 0.622043427871, 0.0412416993097
8, 7.0, 9, no_regularization, 0.0552668534837, 0.363079913516, 0.152216774948, -0.0156912437889, 0.448414728683, 0.0349927038191
8, 7.0, 10, no_regularization, 0.0197685783798, 0.423825655138, 0.046643184857, 0.00403191981603, 0.414054146002, 0.00973766318961
8, 7.0, 6, regularization, -0.0301690323469, 0.261297474278, 0.115458568554, 0.0357929575418, 0.246306077282, 0.145319019071
8, 7.0, 7, regularization, -0.0463344089109, 0.465377770788, 0.0995630041214, -0.00854339870476, 0.397829795983, 0.0214750096424
8, 7.0, 8, regularization, -0.00890863115494, 0.329882838467, 0.0270054398596, -0.000333285882252, 0.424776091234, 0.000784615445949
8, 7.0, 9, regularization, -0.0567351229141, 0.185998384729, 0.305030191508, -0.00440155964806, 0.264668389451, 0.0166304697633
8, 7.0, 10, regularization, -0.00858627978452, 0.289805391912, 0.0296277433897, -0.0468178367312, 0.399942358877, 0.117061460713
8, 3.0, 6, no_regularization, -0.034748716892, 0.00151368348947, 22.9563955304, 0.00559174280257, 0.068043287252, 0.0821791983957
8, 3.0, 7, no_regularization, -0.0344152047297, 0.00198380991786, 17.3480354241, 0.00241318395311, 0.0779395986412, 0.0309622322308
8, 3.0, 8, no_regularization, -0.0345501643651, 0.0025180147876, 13.7211920022, 0.00999679376993, 0.0564031607881, 0.177238183645
8, 3.0, 9, no_regularization, -0.0343754763359, 0.00157824871697, 21.7807725527, 0.00290121867295, 0.0753837112543, 0.0384860154093
8, 3.0, 10, no_regularization, -0.0349256722269, 0.00332463699807, 10.5051084516, 0.00988982194369, 0.0575124690711, 0.17195961334
8, 3.0, 6, regularization, -0.0347283627076, 0.00214738161232, 16.1724225021, 0.0168371822137, 0.00503268421217, 3.34556699842
