welch, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 7.0, 25, no_regularization, -0.0555888158039, 0.190272909982, 0.292153075333, -0.026831648827, 0.307839412934, 0.0871611876182
0, 7.0, 21, regularization, -0.0291461068953, 0.225714605291, 0.129128138863, 0.0197505897378, 0.370991464789, 0.053237315713
0, 7.0, 22, regularization, -0.000733202375247, 0.426464942547, 0.00171925591555, 0.0456619892137, 0.683684688423, 0.0667880822651
0, 7.0, 23, regularization, 0.0269196852673, 0.442489527662, 0.0608368867158, 0.02203442816, 0.442135156511, 0.0498364082465
0, 7.0, 24, regularization, -0.0530219495997, 0.134512128294, 0.394179694219, 0.0400073768873, 0.155711749791, 0.256932292786
0, 7.0, 25, regularization, -0.0568164201097, 0.140039481997, 0.405717154188, 0.044572149768, 0.160815287278, 0.277163636135
0, 0.5, 26, no_regularization, -0.00622848345824, 0.000572956267445, 10.8707833602, 0.00300146928456, 0.00305452439889, 0.982630646413
0, 0.5, 27, no_regularization, -0.00597522422709, 0.000671334179939, 8.90052138807, 0.00293144518586, 0.0032683976063, 0.896905927299
0, 0.5, 28, no_regularization, -0.00609006285817, 0.0010623810579, 5.73246559028, 0.00336510080853, 0.00561703193144, 0.599088780268
0, 0.5, 29, no_regularization, -0.00624180174752, 0.000611680376703, 10.204351791, 0.0029919044378, 0.00340404951239, 0.878925064664
0, 0.5, 30, no_regularization, -0.00637746846466, 0.000757926525218, 8.41436241175, 0.00311638825133, 0.00444677846097, 0.700819318677
0, 0.5, 26, regularization, -0.00622417503456, 0.000778296487512, 7.99717734107, 0.00291706677164, 0.00202610336408, 1.43974232675
0, 0.5, 27, regularization, -0.00597874426429, 0.000971614057281, 6.1534147427, 0.00285087735336, 0.00192759085187, 1.47898468733
0, 0.5, 28, regularization, -0.00609150457526, 0.00108659009353, 5.60607409505, 0.00320768156331, 0.00254365165218, 1.26105379271
0, 0.5, 29, regularization, -0.00625698375582, 0.000685212878713, 9.13144505919, 0.00297935803343, 0.00196101926642, 1.51929054673
0, 0.5, 30, regularization, -0.00637550769712, 0.000868071890092, 7.34444666379, 0.00313081186956, 0.00191211781372, 1.63735301617
0, 1.0, 16, no_regularization, -0.0118912683511, 0.000846184232617, 14.0528124878, 0.0061982464354, 0.00553073091718, 1.12069209806
0, 1.0, 17, no_regularization, -0.0118211418621, 0.000854940761125, 13.8268549116, 0.00644075846016, 0.00541937555867, 1.18846874339
0, 1.0, 18, no_regularization, -0.0117388665581, 0.000676819023257, 17.3441734861, 0.00601192994584, 0.00465826441659, 1.29059439486
0, 1.0, 19, no_regularization, -0.0119819865583, 0.000913905796789, 13.1107457688, 0.00653531709958, 0.00588293387097, 1.11089419717
0, 1.0, 20, no_regularization, -0.0118705535861, 0.00106209195, 11.17657806, 0.00668126837404, 0.00665671509382, 1.00368849799
0, 1.0, 16, regularization, -0.0119124260442, 0.000751333651832, 15.8550412525, 0.00549445614078, 0.00234390252795, 2.34414873284
0, 1.0, 17, regularization, -0.0117970063989, 0.000776943294293, 15.1838705418, 0.00595492843183, 0.00252624000277, 2.35722988525
0, 1.0, 18, regularization, -0.0117380318394, 0.000712653714333, 16.4708772343, 0.00555380066711, 0.00222788197877, 2.49286125568
0, 1.0, 19, regularization, -0.0119993430256, 0.000834685608088, 14.3758834577, 0.00606294547649, 0.00238628236378, 2.54074939685
0, 1.0, 20, regularization, -0.0118567116229, 0.000963017352559, 12.3120435903, 0.00592598660541, 0.00230498764817, 2.5709407207
0, 1.0, 26, no_regularization, -0.0122143747194, 0.000885245196447, 13.7977305818, 0.00663275365566, 0.00546081141631, 1.21460954243
0, 1.0, 27, no_regularization, -0.0118399088204, 0.00108207504806, 10.941855504, 0.00624453380209, 0.00583898084331, 1.0694561208
0, 1.0, 28, no_regularization, -0.011636036849, 0.00190859915115, 6.09663733845, 0.00653349400461, 0.00941032895878, 0.694289650578
0, 1.0, 29, no_regularization, -0.0123312585036, 0.00089026930934, 13.8511553462, 0.00656289511237, 0.00565701455101, 1.16013403416
0, 1.0, 30, no_regularization, -0.0120076969973, 0.00115488830414, 10.3972799398, 0.00683947992154, 0.00686372917036, 0.996467044632
0, 1.0, 26, regularization, -0.0122112315238, 0.000809365783761, 15.0874076576, 0.00610208229623, 0.00238731956825, 2.55603915679
0, 1.0, 27, regularization, -0.0118281184441, 0.000968621429422, 12.2112913103, 0.00584970236307, 0.00222322925658, 2.63117370633
0, 1.0, 28, regularization, -0.0116411773382, 0.00155793898005, 7.4721651408, 0.00613926592658, 0.00279667630642, 2.19520075044
0, 1.0, 29, regularization, -0.0123467707083, 0.00070907472888, 17.4125098603, 0.00623928329375, 0.0026110545056, 2.38956455346
0, 1.0, 30, regularization, -0.0120259175118, 0.000972770412362, 12.3625445007, 0.00609105118515, 0.00253607905335, 2.40175919481
0, 7.0, 11, no_regularization, -0.0229022000172, 0.503088798798, 0.0455231761708, 0.00940437734746, 0.671409398425, 0.0140069194288
0, 7.0, 12, no_regularization, 0.0775413530739, 0.392925449635, 0.197343677143, 0.0189625893913, 0.661685186492, 0.0286580231482
0, 7.0, 13, no_regularization, -0.0128845808264, 0.327917222961, 0.0392921747448, 0.0137126542039, 0.359856181274, 0.0381059293058
0, 7.0, 14, no_regularization, -0.0759525541005, 0.116106993119, 0.65416002999, 0.0424257680795, 0.111230702235, 0.381421381209
0, 7.0, 15, no_regularization, -0.0673664095552, 0.210771743761, 0.319617840385, 0.0454107813452, 0.210371466594, 0.215859983678
0, 7.0, 11, regularization, -0.0160003039059, 0.425409051547, 0.0376115737258, 0.0071572529583, 0.650968454426, 0.0109947769506
0, 7.0, 12, regularization, 0.0774948082615, 0.31542674327, 0.245682428376, 0.014333249408, 0.625373957077, 0.0229194856067
0, 7.0, 13, regularization, -0.0167069031439, 0.24094360336, 0.0693394757568, 0.0109184158024, 0.313053922168, 0.0348771091151
0, 7.0, 14, regularization, -0.0730168680971, 0.0346333820832, 2.10828003808, 0.0414414951763, 0.0658632169303, 0.629205451962
0, 7.0, 15, regularization, -0.051151137218, 0.183470368959, 0.27879781083, 0.0415002846875, 0.21773853674, 0.190596875082
0, 11.0, 21, no_regularization, 0.00107893920266, 0.345384215895, 0.00312388103743, -0.0207621838823, 0.43267256995, 0.0479859027918
0, 11.0, 22, no_regularization, -0.0761858770506, 0.425437066792, 0.179076726025, 0.0237209325216, 0.610841344123, 0.0388332138122
0, 11.0, 23, no_regularization, -0.0018315589746, 0.455670580096, 0.00401948041986, -0.105274004106, 0.754906833331, 0.139452975464
0, 11.0, 24, no_regularization, 0.00210587496841, 0.385578653755, 0.0054615963511, -0.0132533606845, 0.72958338657, 0.0181656558091
0, 11.0, 25, no_regularization, -0.024945552435, 0.374293033774, 0.066647119193, 0.0232091730982, 0.432019208458, 0.0537225490067
0, 11.0, 21, regularization, 0.00567873898181, 0.23991228436, 0.0236700634024, -0.0174131450457, 0.380793889133, 0.0457285306899
0, 11.0, 22, regularization, -0.0718332411873, 0.318914032944, 0.225243274886, 0.0139437731784, 0.547366424741, 0.0254742939064
0, 11.0, 23, regularization, -0.00215387018032, 0.346796873304, 0.00621075432371, -0.0973366474481, 0.72117173203, 0.134970136966
0, 11.0, 24, regularization, 0.000352053548689, 0.262436629713, 0.00134148022353, -0.00672280664529, 0.685727923717, 0.00980389803707
