sinc, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 3.0, 6, no_regularization, -0.0347680215651, 0.00139113656057, 24.9925295262, 0.0206388955396, 0.0134440169231, 1.53517327877
0, 3.0, 7, no_regularization, -0.0344269288882, 0.00171657691443, 20.055570245, 0.0214223795761, 0.0158181776051, 1.35428872472
0, 3.0, 8, no_regularization, -0.0345621296578, 0.0024199778371, 14.2820025572, 0.0204248629737, 0.0149070457443, 1.37014827244
0, 3.0, 9, no_regularization, -0.0344505826062, 0.00140043835468, 24.5998565314, 0.0208683530891, 0.0135885723068, 1.53572815583
0, 3.0, 10, no_regularization, -0.0349413712295, 0.0026739164544, 13.0674880182, 0.0201060924773, 0.0165940057235, 1.21164791747
0, 3.0, 6, regularization, -0.0347656837277, 0.00134459771568, 25.8558253686, 0.0178434815113, 0.00309703251108, 5.76147697755
0, 3.0, 7, regularization, -0.0344198575241, 0.00153819275834, 22.376816779, 0.0177852299841, 0.00359205624583, 4.95126712025
0, 3.0, 8, regularization, -0.0345733656281, 0.00197367931802, 17.5172153411, 0.0181525441435, 0.00456791552446, 3.97392290779
0, 3.0, 9, regularization, -0.0344442263039, 0.00129778336339, 26.5408135714, 0.0179098117978, 0.00316024010366, 5.6672313528
0, 3.0, 10, regularization, -0.0349219967662, 0.00212630994054, 16.4237565278, 0.0183950864693, 0.00503077716979, 3.65650988872
0, 1.0, 21, no_regularization, -0.0119635088965, 0.00105416494798, 11.3488016458, 0.00651701597575, 0.00664767818769, 0.980344684527
0, 1.0, 22, no_regularization, -0.0119419724869, 0.000947779208831, 12.5999519462, 0.00624221128888, 0.00578888595071, 1.07830959912
0, 1.0, 23, no_regularization, -0.011928241053, 0.00125407385988, 9.5115937223, 0.00620624748214, 0.00671978482831, 0.923578305066
0, 1.0, 24, no_regularization, -0.01206289184, 0.000718920687021, 16.7791691876, 0.00638328090156, 0.00486720028663, 1.31148925987
