noInterp, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 11.0, 23, regularization, 0.015578797043, 0.361604991474, 0.0430823617216, -0.00801869501466, 0.824526206377, 0.00972521546634
0, 11.0, 24, regularization, 0.00504872311828, 0.227945804631, 0.0221487871928, -0.0490973240469, 0.339833450505, 0.144474665381
0, 11.0, 25, regularization, -0.0153603830645, 0.357937320299, 0.0429136113878, 0.0306008675464, 0.398607220117, 0.0767694763217
0, 3.0, 16, no_regularization, -0.034971438172, 0.00737512172841, 4.74181165544, 0.0202147482893, 0.0215372914394, 0.938592874886
0, 3.0, 17, no_regularization, -0.0347278225806, 0.00733842881491, 4.73232396969, 0.0202452956989, 0.0208669042281, 0.970210793015
0, 3.0, 18, no_regularization, -0.0344800067204, 0.00776171903651, 4.44231574967, 0.0206347751711, 0.0186786746305, 1.10472373331
0, 3.0, 19, no_regularization, -0.0343581989247, 0.00776918702938, 4.42236733326, 0.0211540811339, 0.021498004887, 0.984002061824
0, 3.0, 20, no_regularization, -0.0346858198925, 0.00737370258936, 4.70398954557, 0.0216886608016, 0.0228498313142, 0.949182534581
0, 3.0, 16, regularization, -0.0349420362903, 0.00725036768122, 4.81934680096, 0.0174349340176, 0.0135077472444, 1.29073587936
0, 3.0, 17, regularization, -0.0347572244624, 0.0073202029605, 4.7481230575, 0.0177633186706, 0.0134770579798, 1.31804127408
0, 3.0, 18, regularization, -0.0344800067204, 0.00770730378018, 4.47367947389, 0.0183284457478, 0.0135188376339, 1.35577083209
0, 3.0, 19, regularization, -0.0343581989247, 0.00770572673074, 4.45878761671, 0.0182673509286, 0.0130689022181, 1.3977724084
0, 3.0, 20, regularization, -0.0346858198925, 0.00733555196618, 4.72845398034, 0.0183437194526, 0.0130304163358, 1.40776157721
0, 1.0, 26, no_regularization, -0.0122563844086, 0.00321553444055, 3.81161658667, 0.00680443548387, 0.0153344797977, 0.443734353799
0, 1.0, 27, no_regularization, -0.0116977486559, 0.00523662316707, 2.23383433994, 0.0058574657869, 0.0151045083757, 0.38779585811
0, 1.0, 28, no_regularization, -0.0117019489247, 0.00518764218459, 2.25573555545, 0.00707172531769, 0.0164637043463, 0.429534275456
0, 1.0, 29, no_regularization, -0.0123655913978, 0.00199943762232, 6.18453472107, 0.00666697214076, 0.0159515314184, 0.417951854646
0, 1.0, 30, no_regularization, -0.0120337701613, 0.00426047521754, 2.82451359223, 0.00639968230694, 0.0147149627274, 0.434909855058
0, 1.0, 26, regularization, -0.0122899865591, 0.00330129765321, 3.72277445119, 0.00566654447703, 0.0121489103484, 0.466424091915
0, 1.0, 27, regularization, -0.0117061491935, 0.00441890334585, 2.64910731857, 0.00557490224829, 0.0120622475826, 0.462177733471
0, 1.0, 28, regularization, -0.0117019489247, 0.00485047333695, 2.41253752198, 0.00644550342131, 0.012658176735, 0.509196826386
0, 1.0, 29, regularization, -0.0123949932796, 0.00151492504434, 8.1819185219, 0.00639204545455, 0.0127502663039, 0.501326427403
0, 1.0, 30, regularization, -0.012063172043, 0.00405813355128, 2.97259119015, 0.00572000244379, 0.012476092279, 0.458477086884
0, 3.0, 26, no_regularization, -0.0346858198925, 0.00742111507195, 4.67393640392, 0.0212380865103, 0.0208072900452, 1.02070411208
0, 3.0, 27, no_regularization, -0.0343707997312, 0.00761416913049, 4.51405782327, 0.0204896749756, 0.0215313319835, 0.95162133914
0, 3.0, 28, no_regularization, -0.0340641801075, 0.0338826475869, 1.00535768405, 0.0219788611926, 0.0691184512016, 0.31798833467
0, 3.0, 29, no_regularization, -0.034580813172, 0.00753496762983, 4.58937780106, 0.0211540811339, 0.0217233395236, 0.973795079292
0, 3.0, 30, no_regularization, -0.0344464045699, 0.00766662625949, 4.49303297226, 0.0214901026393, 0.0242172355783, 0.887388759538
