convergenceTolerance_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
1, 7.0, 10, no_regularization, -0.0521586262049, 0.206790900762, 0.252228826378, 0.0249954123637, 0.176475378846, 0.141636825075
1, 7.0, 6, regularization, -0.067038754657, 0.0468996293426, 1.42940905071, 0.0316887523635, 0.0282467191066, 1.1218560373
1, 7.0, 7, regularization, -0.0518473632316, 0.0776044841267, 0.668097518011, 0.0314762120178, 0.108099106179, 0.291179207029
1, 7.0, 8, regularization, -0.06697823617, 0.0218005736954, 3.07231530261, 0.0305640922823, 0.0180261546901, 1.69554144008
1, 7.0, 9, regularization, -0.0670827831175, 0.0236412626778, 2.83752962063, 0.0316569741215, 0.00845648588953, 3.74351409498
1, 7.0, 10, regularization, -0.0554152073227, 0.106211986905, 0.521741556083, 0.0301519261642, 0.0638834130439, 0.471983645324
7, 7.0, 1, no_regularization, -0.0401842235906, 0.272059896425, 0.147703590711, 0.0431453193037, 0.287103652909, 0.150277848667
7, 7.0, 2, no_regularization, -0.0493072955658, 0.214435020519, 0.229940498742, 0.0230496555524, 0.215650101715, 0.10688451046
7, 7.0, 3, no_regularization, -0.0671172147119, 0.0990769080938, 0.677425406214, 0.0330544637591, 0.0983597408319, 0.336056840731
7, 7.0, 4, no_regularization, -0.0664620401461, 0.123592309002, 0.53775223299, 0.0287107877688, 0.175968822232, 0.16315837888
7, 7.0, 5, no_regularization, -0.0532776921808, 0.219678503163, 0.24252574291, 0.0220729396456, 0.20160488866, 0.109486132962
7, 7.0, 1, regularization, -0.0393879969663, 0.151124771939, 0.260632300455, 0.0382453467011, 0.168116404493, 0.227493246815
7, 7.0, 2, regularization, -0.0477811026798, 0.122516803215, 0.389996322348, 0.0280658889821, 0.116298612918, 0.241326085306
7, 7.0, 3, regularization, -0.0670941728858, 0.0215698967272, 3.11054678352, 0.0319320456443, 0.00967910751269, 3.29906921712
7, 7.0, 4, regularization, -0.0642770601974, 0.0448749794209, 1.43235854427, 0.031593820849, 0.135709131035, 0.232805417057
7, 7.0, 5, regularization, -0.05422001975, 0.124321162583, 0.436128641525, 0.0313784638256, 0.0892967456631, 0.351395379446
1, 7.0, 1, no_regularization, -0.0401869347218, 0.272023607645, 0.147733261351, 0.04299083799, 0.286970039791, 0.149809499352
1, 7.0, 2, no_regularization, -0.0493111665979, 0.214434665858, 0.229958931316, 0.0230915676887, 0.215379772056, 0.107213260875
1, 7.0, 3, no_regularization, -0.0671184978123, 0.0990997279225, 0.677282362115, 0.0330855394708, 0.0984444342781, 0.336083392763
1, 7.0, 4, no_regularization, -0.0664535512743, 0.123600810433, 0.537646565919, 0.0287775625834, 0.176135129692, 0.163383435398
1, 7.0, 5, no_regularization, -0.0532772045885, 0.219653494594, 0.242551135765, 0.0220944859988, 0.201359932262, 0.109726328126
1, 7.0, 1, regularization, -0.0393926353558, 0.151055752908, 0.260782092688, 0.0382497930609, 0.168002638253, 0.227673764285
1, 7.0, 2, regularization, -0.0477831308525, 0.122547555173, 0.389915007157, 0.0280657701288, 0.116192316836, 0.241545834467
1, 7.0, 3, regularization, -0.0671123412838, 0.021628223936, 3.10299826201, 0.0319258880803, 0.00972218402403, 3.2838185331
1, 7.0, 4, regularization, -0.064272396801, 0.0449034026396, 1.43134802761, 0.0316082824572, 0.135684019971, 0.232955085382
1, 7.0, 5, regularization, -0.0542195311704, 0.124283984559, 0.436255172884, 0.0313850552826, 0.089364282494, 0.351203572688
1, 9.0, 26, no_regularization, -0.0865263558985, 0.163337109337, 0.529740952621, 0.0319182604526, 0.160038243486, 0.199441456976
1, 9.0, 27, no_regularization, 0.0184580622314, 0.582613777197, 0.0316814722786, -0.0738534633865, 0.733704693684, 0.100658294846
1, 9.0, 28, no_regularization, 0.0005091185531, 0.334375820348, 0.00152259380648, -0.250206826777, 0.555584834163, 0.450348554157
1, 9.0, 29, no_regularization, 0.00360430684904, 0.480938900416, 0.00749431340639, -0.274051398188, 0.735612251998, 0.372548713596
1, 9.0, 30, no_regularization, -0.0634026846123, 0.429443962934, 0.147639017159, -0.0989897800473, 0.515516639605, 0.192020533271
1, 9.0, 26, regularization, -0.0865108717838, 0.0594927514506, 1.4541413815, 0.0360534757439, 0.0663295948256, 0.543550369012
1, 9.0, 27, regularization, 0.0176286478844, 0.486171012678, 0.0362601788767, -0.0667774725231, 0.688565484722, 0.0969805690304
1, 9.0, 28, regularization, -0.00247839210738, 0.232366845062, 0.0106658594376, -0.249457963453, 0.516730625658, 0.482762102857
1, 9.0, 29, regularization, 0.00562696048561, 0.387849864173, 0.0145080893547, -0.268201955347, 0.725247509095, 0.369807482251
1, 9.0, 30, regularization, -0.0600896937259, 0.360642316355, 0.166618533103, -0.0882537385189, 0.455551839428, 0.193729299018
