convergenceTolerance, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
3, 5.0, 7, no_regularization, -0.055259230272, 0.00248261781787, 22.2584522975, 0.0334089079908, 0.0185916280381, 1.79698668251
3, 5.0, 8, no_regularization, -0.055730383682, 0.0197980955564, 2.81493659444, 0.0330974160308, 0.0234720613411, 1.41007709335
3, 5.0, 9, no_regularization, -0.0565062115171, 0.00214112188974, 26.3909363534, 0.0341736482318, 0.0186487625733, 1.83248878297
3, 5.0, 10, no_regularization, -0.0550227280396, 0.0634761254077, 0.866825561362, 0.0351886260667, 0.089940271283, 0.391244384353
3, 5.0, 6, regularization, -0.0557033955372, 0.00238168053696, 23.3882733947, 0.029085058217, 0.00538054344899, 5.40559861522
3, 5.0, 7, regularization, -0.0552256518214, 0.00246943647565, 22.3636657051, 0.0296128687513, 0.0057812037141, 5.12226695611
3, 5.0, 8, regularization, -0.0557326907538, 0.00311929978636, 17.8670517651, 0.0297829943171, 0.00689485436671, 4.31959730157
3, 5.0, 9, regularization, -0.0565005834623, 0.00231286780598, 24.4287993097, 0.0302434022173, 0.00694044602582, 4.35755888092
3, 5.0, 10, regularization, -0.0555406983184, 0.00892098465506, 6.22584843108, 0.0295336248556, 0.033192366343, 0.889771598396
5, 3.0, 6, no_regularization, -0.0347680214196, 0.00139113659836, 24.9925287427, 0.0206388962328, 0.0134440170242, 1.53517331878
5, 3.0, 7, no_regularization, -0.0344269297825, 0.00171657600294, 20.0555814153, 0.0214223787201, 0.0158181703997, 1.3542892875
5, 3.0, 8, no_regularization, -0.034562129716, 0.00241997760669, 14.282003941, 0.020424858242, 0.0149070190224, 1.37015041112
5, 3.0, 9, no_regularization, -0.034450582431, 0.00140043947153, 24.5998367879, 0.0208683544629, 0.013588569076, 1.53572862206
5, 3.0, 10, no_regularization, -0.0349413712438, 0.00267391657844, 13.0674874173, 0.0201060918015, 0.0165939926656, 1.21164883019
5, 3.0, 6, regularization, -0.034765683599, 0.00134459620759, 25.8558542727, 0.0178434830292, 0.00309703173814, 5.76147890558
5, 3.0, 7, regularization, -0.0344198594875, 0.00153819412035, 22.3767982416, 0.0177852306051, 0.00359205402395, 4.95127035576
5, 3.0, 8, regularization, -0.0345733650089, 0.00197367684729, 17.5172369562, 0.0181525391605, 0.00456791797677, 3.9739196835
5, 3.0, 9, regularization, -0.0344442274283, 0.00129777904226, 26.540902809, 0.0179098134214, 0.00316024578614, 5.66722167622
5, 3.0, 10, regularization, -0.0349219978278, 0.00212630850068, 16.4237681488, 0.0183950863071, 0.00503077357669, 3.65651246805
2, 0.5, 6, no_regularization, -0.00636819711777, 0.000522272826173, 12.1932384735, 0.00309186081804, 0.00293443487046, 1.05364779064
2, 0.5, 7, no_regularization, -0.00613970733616, 0.000736636328468, 8.33478759991, 0.00357807723307, 0.0044519548357, 0.803709239001
2, 0.5, 8, no_regularization, -0.00632979995438, 0.00065508944457, 9.66249724652, 0.00317025154675, 0.00347068411341, 0.913437075561
2, 0.5, 9, no_regularization, -0.00605289352612, 0.000562805824196, 10.7548523236, 0.00305036893727, 0.00322149812437, 0.946879004585
2, 0.5, 10, no_regularization, -0.00616616593639, 0.000770499949167, 8.00281160701, 0.00343942370639, 0.00446751716655, 0.769873640808
2, 0.5, 6, regularization, -0.00639438898288, 0.000632666111986, 10.1070515106, 0.00311374861833, 0.00192804838817, 1.61497431155
2, 0.5, 7, regularization, -0.00611146414062, 0.000846917008087, 7.21613107573, 0.00285117529519, 0.00192829485697, 1.47859923231
2, 0.5, 8, regularization, -0.00634832772757, 0.000767312610069, 8.27345679487, 0.00331132533488, 0.00233114456674, 1.42047189271
2, 0.5, 9, regularization, -0.00602477250999, 0.000858995098344, 7.01374492311, 0.00298770599524, 0.00218416412085, 1.36789445753
2, 0.5, 10, regularization, -0.00618397622559, 0.000820885825427, 7.53329639037, 0.00319294082129, 0.00210867604326, 1.51419220202
