radius3, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 9.0, 28, no_regularization, -0.00239103993947, 0.331828706546, 0.00720564523895, -0.00400781024358, 0.409188649722, 0.00979452936023
0, 9.0, 29, no_regularization, -0.00465124149084, 0.317178555975, 0.0146644260882, -0.0474924754377, 0.397731287229, 0.119408447267
0, 9.0, 30, no_regularization, 0.0270268954096, 0.519125537928, 0.0520623499232, 0.00547815318449, 0.641088299879, 0.00854508370458
0, 9.0, 26, regularization, -0.0416416418952, 0.472490209508, 0.0881322851927, -0.0548241723167, 0.526995854824, 0.104031505779
0, 9.0, 27, regularization, -0.0200223946158, 0.437659320431, 0.0457488134746, -0.0178526416418, 0.785151600195, 0.022737827494
0, 9.0, 28, regularization, -0.0026837096176, 0.271183523943, 0.009896285654, -0.00759236803986, 0.354484491421, 0.0214180541705
0, 9.0, 29, regularization, -0.00191311688248, 0.247261984441, 0.00773720589035, -0.0625136322889, 0.309025039308, 0.202293097119
0, 9.0, 30, regularization, 0.0351557829712, 0.463814449193, 0.0757970844426, -0.00157039718948, 0.609761281081, 0.00257542949709
0, 3.0, 11, no_regularization, -0.0343442575265, 0.00257055664317, 13.3606305147, 0.0212741488723, 0.0188126585535, 1.13084223646
0, 3.0, 12, no_regularization, -0.0338370635576, 0.00141697618568, 23.879768693, 0.0203711032926, 0.0161026187644, 1.2650801457
0, 3.0, 13, no_regularization, -0.0340254379283, 0.00162920480428, 20.8846903955, 0.0198041325376, 0.0150552227127, 1.3154327183
0, 3.0, 14, no_regularization, -0.0346546988492, 0.00186620601803, 18.5695997733, 0.0208644392425, 0.0153696932498, 1.35750524772
0, 3.0, 15, no_regularization, -0.03450827822, 0.00156473332662, 22.0537759584, 0.0204600665713, 0.0153859118924, 1.32979226154
0, 3.0, 11, regularization, -0.0343101642209, 0.00212230668018, 16.1664497131, 0.0180519679245, 0.00420953920269, 4.28834773958
0, 3.0, 12, regularization, -0.0338243587425, 0.00134939838325, 25.0662511252, 0.0170054309148, 0.00308429881328, 5.51354844141
